epoch,loss,val_f1,val_precision,val_recall
1,1.680614,0.0,0.0,0.0
2,1.59808,0.001495,0.000751,0.142857
3,1.485332,0.0,0.0,0.0
4,1.683856,0.0,0.0,0.0
5,1.638213,0.0,0.0,0.0
6,nan,0.0,0.0,0.0
7,nan,0.0,0.0,0.0
8,nan,0.0,0.0,0.0
9,nan,0.0,0.0,0.0
10,nan,0.0,0.0,0.0
11,nan,0.0,0.0,0.0
12,nan,0.0,0.0,0.0
13,nan,0.0,0.0,0.0
14,nan,0.0,0.0,0.0
15,nan,0.0,0.0,0.0
16,nan,0.0,0.0,0.0
17,nan,0.0,0.0,0.0
18,nan,0.0,0.0,0.0
19,nan,0.0,0.0,0.0
20,nan,0.0,0.0,0.0
21,nan,0.0,0.0,0.0
22,nan,0.0,0.0,0.0
23,nan,0.0,0.0,0.0
24,nan,0.0,0.0,0.0
25,nan,0.0,0.0,0.0
26,nan,0.0,0.0,0.0
27,nan,0.0,0.0,0.0
28,nan,0.0,0.0,0.0
29,nan,0.0,0.0,0.0
30,nan,0.0,0.0,0.0
31,nan,0.0,0.0,0.0
32,nan,0.0,0.0,0.0
33,nan,0.0,0.0,0.0
34,nan,0.0,0.0,0.0
35,nan,0.0,0.0,0.0
36,nan,0.0,0.0,0.0
37,nan,0.0,0.0,0.0
38,nan,0.0,0.0,0.0
39,nan,0.0,0.0,0.0
40,nan,0.0,0.0,0.0
41,nan,0.0,0.0,0.0
42,nan,0.0,0.0,0.0
43,nan,0.0,0.0,0.0
44,nan,0.0,0.0,0.0
45,nan,0.0,0.0,0.0
46,nan,0.0,0.0,0.0
47,nan,0.0,0.0,0.0
48,nan,0.0,0.0,0.0
49,nan,0.0,0.0,0.0
50,nan,0.0,0.0,0.0
